dataset,subject,condition,band,filename,run,source,metric,first,second,eyes,recording
Chennu,13,mild,alpha,13-2010-anest 20100322 132.008.set,,phase_only,M_tau,0.003913376314681111,0.003899526579257813,,
Chennu,13,moderate,alpha,13-2010-anest 20100322 132.013.set,,phase_only,Pi,0.632183908045977,0.5862068965517241,,
Chennu,13,moderate,alpha,13-2010-anest 20100322 132.013.set,,phase_only,R,0.14390677455338904,0.1301881578096779,,
Chennu,13,moderate,alpha,13-2010-anest 20100322 132.013.set,,phase_only,D_eff,5.683039815131809,5.981248146122768,,
Chennu,13,moderate,alpha,13-2010-anest 20100322 132.013.set,,phase_only,M_tau,0.004089426683160686,0.0037969657496821274,,
Chennu,13,recovery,alpha,13-2010-anest 20100322 132.026.set,,phase_only,Pi,0.6666666666666669,0.7011494252873564,,
Chennu,13,recovery,alpha,13-2010-anest 20100322 132.026.set,,phase_only,R,0.13974007067127034,0.14676987836840752,,
Chennu,13,recovery,alpha,13-2010-anest 20100322 132.026.set,,phase_only,D_eff,5.515145751033202,6.050047023993595,,
Chennu,13,recovery,alpha,13-2010-anest 20100322 132.026.set,,phase_only,M_tau,0.004051884096864117,0.004027746427266076,,
Chennu,14,baseline,alpha,14-2010-anest 20100324 125.007.set,,phase_only,Pi,0.8390804597701149,0.8160919540229885,,
Chennu,14,baseline,alpha,14-2010-anest 20100324 125.007.set,,phase_only,R,0.12411042202581532,0.12681050731596416,,
Chennu,14,baseline,alpha,14-2010-anest 20100324 125.007.set,,phase_only,D_eff,9.01809551664121,8.491634168208748,,
Chennu,14,baseline,alpha,14-2010-anest 20100324 125.007.set,,phase_only,M_tau,0.004383458550084738,0.0043175988309139554,,
Chennu,14,mild,alpha,14-2010-anest 20100324 132.011.set,,phase_only,Pi,0.9195402298850575,0.9195402298850573,,
Chennu,14,mild,alpha,14-2010-anest 20100324 132.011.set,,phase_only,R,0.1353164362453605,0.13337779079407666,,
Chennu,14,mild,alpha,14-2010-anest 20100324 132.011.set,,phase_only,D_eff,8.76049857181555,8.26011771742828,,
Chennu,14,mild,alpha,14-2010-anest 20100324 132.011.set,,phase_only,M_tau,0.004320201422330228,0.004526317326680618,,
Chennu,14,moderate,alpha,14-2010-anest 20100324 132.016.set,,phase_only,Pi,0.6896551724137931,0.5402298850574713,,
Chennu,14,moderate,alpha,14-2010-anest 20100324 132.016.set,,phase_only,R,0.0965827942698493,0.09432593783401522,,
Chennu,14,moderate,alpha,14-2010-anest 20100324 132.016.set,,phase_only,D_eff,9.356788644309997,9.700630569953113,,
Chennu,14,moderate,alpha,14-2010-anest 20100324 132.016.set,,phase_only,M_tau,0.0023464877800880206,0.0024289061178425723,,
Chennu,14,recovery,alpha,14-2010-anest 20100324 132.031.set,,phase_only,Pi,0.9080459770114943,0.9080459770114944,,
Chennu,14,recovery,alpha,14-2010-anest 20100324 132.031.set,,phase_only,R,0.14199316841261303,0.13560361690495865,,
Chennu,14,recovery,alpha,14-2010-anest 20100324 132.031.set,,phase_only,D_eff,9.092677067567074,8.970644794733868,,
Chennu,14,recovery,alpha,14-2010-anest 20100324 132.031.set,,phase_only,M_tau,0.004141800011795304,0.0038361792341828375,,
Chennu,18,baseline,alpha,18-2010-anest 20100331 140.003.set,,phase_only,Pi,0.7471264367816093,0.9080459770114943,,
Chennu,18,baseline,alpha,18-2010-anest 20100331 140.003.set,,phase_only,R,0.19108239028757307,0.21158833202286767,,
Chennu,18,baseline,alpha,18-2010-anest 20100331 140.003.set,,phase_only,D_eff,5.608220111572307,5.178994245896554,,
Chennu,18,baseline,alpha,18-2010-anest 20100331 140.003.set,,phase_only,M_tau,0.0036872465800574304,0.003920405444561455,,
Chennu,18,mild,alpha,18-2010-anest 20100331 140.009.set,,phase_only,Pi,0.6551724137931034,0.632183908045977,,
Chennu,18,mild,alpha,18-2010-anest 20100331 140.009.set,,phase_only,R,0.2129569972559149,0.20048876285604944,,
Chennu,18,mild,alpha,18-2010-anest 20100331 140.009.set,,phase_only,D_eff,4.4935557181332895,4.890566803374702,,
Chennu,18,mild,alpha,18-2010-anest 20100331 140.009.set,,phase_only,M_tau,0.002758805692349589,0.0027580674757372286,,
Chennu,18,moderate,alpha,18-2010-anest 20100331 140.014.set,,phase_only,Pi,0.6551724137931033,0.5287356321839081,,
Chennu,18,moderate,alpha,18-2010-anest 20100331 140.014.set,,phase_only,R,0.18384548263319786,0.17376304621191224,,
Chennu,18,moderate,alpha,18-2010-anest 20100331 140.014.set,,phase_only,D_eff,5.462137991032848,6.217643897581866,,
Chennu,18,moderate,alpha,18-2010-anest 20100331 140.014.set,,phase_only,M_tau,0.0031136283166437726,0.0032629716556449827,,
Chennu,18,recovery,alpha,18-2010-anest 20100331 140.027.set,,phase_only,Pi,0.7356321839080461,0.6666666666666666,,
Chennu,18,recovery,alpha,18-2010-anest 20100331 140.027.set,,phase_only,R,0.18792295758406094,0.18804828951666977,,
Chennu,18,recovery,alpha,18-2010-anest 20100331 140.027.set,,phase_only,D_eff,5.330679716526327,5.740461435252738,,
Chennu,18,recovery,alpha,18-2010-anest 20100331 140.027.set,,phase_only,M_tau,0.003141452141923414,0.0035652933908724583,,
Chennu,20,baseline,alpha,20-2010-anest 20100414 131.004.set,,phase_only,Pi,0.8275862068965517,0.8275862068965516,,
Chennu,20,baseline,alpha,20-2010-anest 20100414 131.004.set,,phase_only,R,0.1111128246595507,0.10419720863527451,,
Chennu,20,baseline,alpha,20-2010-anest 20100414 131.004.set,,phase_only,D_eff,9.984516221782748,10.442395492498388,,
Chennu,20,baseline,alpha,20-2010-anest 20100414 131.004.set,,phase_only,M_tau,0.002887207106617565,0.002383003226111179,,
Chennu,20,mild,alpha,20-2010-anest 20100414 131.009.set,,phase_only,Pi,0.7586206896551724,0.6666666666666667,,
Chennu,20,mild,alpha,20-2010-anest 20100414 131.009.set,,phase_only,R,0.11284029389460314,0.14101682789963144,,
Chennu,20,mild,alpha,20-2010-anest 20100414 131.009.set,,phase_only,D_eff,9.2117902002093,6.021498999371346,,
Chennu,20,mild,alpha,20-2010-anest 20100414 131.009.set,,phase_only,M_tau,0.0025207220404963792,0.0027084573489671547,,
Chennu,20,moderate,alpha,20-2010-anest 20100414 131.022.set,,phase_only,Pi,0.6666666666666667,0.7816091954022989,,
Chennu,20,moderate,alpha,20-2010-anest 20100414 131.022.set,,phase_only,R,0.13343018378886698,0.1090616847767265,,
Chennu,20,moderate,alpha,20-2010-anest 20100414 131.022.set,,phase_only,D_eff,6.496550884871021,8.287132821597494,,
Chennu,20,moderate,alpha,20-2010-anest 20100414 131.022.set,,phase_only,M_tau,0.0022862686673993516,0.0023725279555572797,,
Chennu,20,recovery,alpha,20-2010-anest 20100414 131.027.set,,phase_only,Pi,0.7701149425287356,0.6436781609195402,,
Chennu,20,recovery,alpha,20-2010-anest 20100414 131.027.set,,phase_only,R,0.11969857165282136,0.13411131242578178,,
Chennu,20,recovery,alpha,20-2010-anest 20100414 131.027.set,,phase_only,D_eff,8.403674044741843,5.658672756545558,,
Chennu,20,recovery,alpha,20-2010-anest 20100414 131.027.set,,phase_only,M_tau,0.0026146643099549385,0.002230672959763186,,
Chennu,22,baseline,alpha,22-2010-anest 20100415 132.004.set,,phase_only,Pi,0.8850574712643678,0.7701149425287356,,
Chennu,22,baseline,alpha,22-2010-anest 20100415 132.004.set,,phase_only,R,0.16547378174498711,0.16777457171776491,,
Chennu,22,baseline,alpha,22-2010-anest 20100415 132.004.set,,phase_only,D_eff,8.032134626455344,8.114450734150848,,
Chennu,22,baseline,alpha,22-2010-anest 20100415 132.004.set,,phase_only,M_tau,0.004457352871868038,0.004475732473524493,,
Chennu,22,mild,alpha,22-2010-anest 20100415 132.009.set,,phase_only,Pi,0.7816091954022989,0.5632183908045977,,
Chennu,22,mild,alpha,22-2010-anest 20100415 132.009.set,,phase_only,R,0.16449894630799874,0.14495728349551193,,
Chennu,22,mild,alpha,22-2010-anest 20100415 132.009.set,,phase_only,D_eff,9.152062285901854,9.432590203396156,,
Chennu,22,mild,alpha,22-2010-anest 20100415 132.009.set,,phase_only,M_tau,0.003861725629482811,0.004125694074350672,,
Chennu,22,moderate,alpha,22-2010-anest 20100415 132.014.set,,phase_only,Pi,0.8390804597701149,0.896551724137931,,
Chennu,22,moderate,alpha,22-2010-anest 20100415 132.014.set,,phase_only,R,0.18200580720946818,0.19382877697220022,,
Chennu,22,moderate,alpha,22-2010-anest 20100415 132.014.set,,phase_only,D_eff,8.202782205510179,7.4395335790978,,
Chennu,22,moderate,alpha,22-2010-anest 20100415 132.014.set,,phase_only,M_tau,0.005224591631505879,0.004595728834309011,,
Chennu,22,recovery,alpha,22-2010-anest 20100415 154.003.set,,phase_only,Pi,0.7701149425287356,0.7241379310344829,,
Chennu,22,recovery,alpha,22-2010-anest 20100415 154.003.set,,phase_only,R,0.16690430584197272,0.15579732865243826,,
Chennu,22,recovery,alpha,22-2010-anest 20100415 154.003.set,,phase_only,D_eff,7.3882848555609515,7.056927289126798,,
Chennu,22,recovery,alpha,22-2010-anest 20100415 154.003.set,,phase_only,M_tau,0.004725705973059161,0.003803597987735083,,
Chennu,23,baseline,alpha,23-2010-anest 20100420 094.003.set,,phase_only,Pi,0.8620689655172413,0.793103448275862,,
Chennu,23,baseline,alpha,23-2010-anest 20100420 094.003.set,,phase_only,R,0.21829436671289748,0.19150401005378156,,
Chennu,23,baseline,alpha,23-2010-anest 20100420 094.003.set,,phase_only,D_eff,5.662752403110865,5.190514895682093,,
Chennu,23,baseline,alpha,23-2010-anest 20100420 094.003.set,,phase_only,M_tau,0.004619762788373683,0.004644175656154019,,
Chennu,23,mild,alpha,23-2010-anest 20100420 094.008.set,,phase_only,Pi,0.8275862068965517,0.7931034482758622,,
Chennu,23,mild,alpha,23-2010-anest 20100420 094.008.set,,phase_only,R,0.22868728440875627,0.18430867947025684,,
Chennu,23,mild,alpha,23-2010-anest 20100420 094.008.set,,phase_only,D_eff,5.297325285347863,5.347219775519537,,
Chennu,23,mild,alpha,23-2010-anest 20100420 094.008.set,,phase_only,M_tau,0.0040563019139844515,0.004832580642919229,,
Chennu,23,moderate,alpha,23-2010-anest 20100420 094.022.set,,phase_only,Pi,0.7816091954022988,0.528735632183908,,
Chennu,23,moderate,alpha,23-2010-anest 20100420 094.022.set,,phase_only,R,0.19542403990336746,0.14450728601476906,,
Chennu,23,moderate,alpha,23-2010-anest 20100420 094.022.set,,phase_only,D_eff,6.278856885383227,6.688655716380396,,
Chennu,23,moderate,alpha,23-2010-anest 20100420 094.022.set,,phase_only,M_tau,0.004783160009700824,0.003619109780768931,,
