source,dataset,band,condition,subject,metric,run1,run2
phase_only,DS005620,alpha,sed,1036,M_tau,0.0029884647624402,0.0032298167132957
phase_only,DS005620,alpha,sed,1045,M_tau,0.0028515952228412,0.0026428911987628
phase_only,DS005620,alpha,sed,1046,M_tau,0.0049761018253812,0.0170124795176947
phase_only,DS005620,alpha,sed,1054,M_tau,0.0031627161516496,0.0025840614262814
phase_only,DS005620,alpha,sed,1055,M_tau,0.0076456355096778,0.0036582314754729
phase_only,DS005620,alpha,sed,1057,M_tau,0.0038514942166781,0.0027925306444947
phase_only,DS005620,alpha,sed,1060,M_tau,0.0035560121162537,0.0028313389942636
phase_only,DS005620,alpha,sed,1061,M_tau,0.0036775897883843,0.0022395238729842
phase_only,DS005620,alpha,sed,1062,M_tau,0.0038526588001731,0.0028984659446109
phase_only,DS005620,alpha,sed,1064,M_tau,0.0043116339642545,0.0042478274416977
phase_only,DS005620,alpha,sed,1067,M_tau,0.0084460230571889,0.0067850262777515
phase_only,DS005620,alpha,sed,1068,M_tau,0.0037759465244171,0.0431239334985104
phase_only,DS005620,alpha,sed,1071,M_tau,0.0049203853327556,0.0050205718439508
phase_only,DS005620,alpha,sed,1074,M_tau,0.0039493510306101,0.003311825804535
phase_only,DS005620,alpha,sed2,1010,Pi,0.7192982456140351,0.6491228070175439
phase_only,DS005620,alpha,sed2,1016,Pi,0.8596491228070174,0.9473684210526316
phase_only,DS005620,alpha,sed2,1017,Pi,0.8859649122807017,0.7456140350877193
phase_only,DS005620,alpha,sed2,1022,Pi,0.543859649122807,0.4385964912280701
phase_only,DS005620,alpha,sed2,1024,Pi,0.5526315789473685,0.5087719298245613
phase_only,DS005620,alpha,sed2,1033,Pi,0.2631578947368422,0.2894736842105264
phase_only,DS005620,alpha,sed2,1045,Pi,0.2280701754385964,0.2543859649122807
phase_only,DS005620,alpha,sed2,1046,Pi,0.6491228070175439,0.6666666666666666
phase_only,DS005620,alpha,sed2,1054,Pi,0.9035087719298246,0.8333333333333334
phase_only,DS005620,alpha,sed2,1055,Pi,0.8421052631578947,0.7543859649122806
phase_only,DS005620,alpha,sed2,1057,Pi,0.4210526315789473,0.3070175438596492
phase_only,DS005620,alpha,sed2,1060,Pi,0.6052631578947368,0.8157894736842106
phase_only,DS005620,alpha,sed2,1061,Pi,0.4210526315789473,0.8245614035087719
phase_only,DS005620,alpha,sed2,1062,Pi,0.4473684210526316,0.4824561403508771
phase_only,DS005620,alpha,sed2,1064,Pi,0.6666666666666667,0.7543859649122807
phase_only,DS005620,alpha,sed2,1067,Pi,0.9473684210526316,0.9649122807017542
phase_only,DS005620,alpha,sed2,1071,Pi,0.4035087719298246,0.4736842105263156
phase_only,DS005620,alpha,sed2,1074,Pi,0.7368421052631579,0.7280701754385964
phase_only,DS005620,alpha,sed2,1010,R,0.1207495618660118,0.100546086956233
