replicate,cross_d_recovery_late_minus_chronic,longitudinal_mean_delta
122,1.433521476743895,0.09729145978430839
123,-0.7303910086873928,-0.0464126398469994
124,0.7603821301452774,-0.0317093772690795
125,0.22187017799779427,0.1038797619511132
126,1.0240016428961678,0.00035616211675074425
127,0.6147638809122056,-0.09450526440222921
128,0.17318280988436477,-0.02898315923232951
129,0.5790364569941432,-0.055089928509443296
130,0.49196137682279045,-0.07741424181774535
131,-0.32358294354303785,0.08430131560534292
132,0.32560037307544737,0.024144177931938668
133,0.3348660633152542,0.0183911843212425
134,-0.6506403436315673,0.050116775809632
135,-0.43765511877827207,0.06267230417816555
136,0.7595975187154372,0.05604590540396101
137,1.5112291029963145,0.0556674695388345
138,0.5883048209202686,-0.045328464527200484
139,0.8292730671524988,0.0408314665891575
140,-0.8363973659039606,-0.007015944317336792
141,0.7326007636652181,0.08512287406268082
142,-0.18111219007703272,-0.02573858466995362
143,-0.16020835708902958,-0.08053072809707375
144,0.052876987205258866,0.14283874974137653
145,-0.10625471290202752,0.1196479694680656
146,-0.03401732901683759,0.11922093777684495
147,0.1291372044250237,0.13474679422668284
148,0.20362818985566697,-0.025183057034694336
149,-0.027458459964216784,0.08597747204583826
150,-0.2999079277719131,0.12313766755040786
151,-0.02506555663401944,-0.0207151414026696
152,0.24918638000196,-0.1266287908009771
153,0.44648007442596505,-0.10407919562675051
154,0.01270509762405966,0.018959277438827686
155,0.6322278364342108,-0.007755617476370251
156,1.7798551532339428,0.04540959963600875
157,0.1611786478773027,0.04354299456786573
158,0.27191473857902065,-0.03232744639670408
159,-0.9856753602127551,0.10263141143756609
160,0.17032022553040047,0.019692279680856257
161,0.4670581222783683,-0.011754206280413721
162,0.7323878755151757,-0.08813079173301554
163,-0.3672727993418524,0.011582762569998049
164,0.5960154480039108,0.038419066438951564
165,0.9783623306717529,-0.0020832488878147204
166,0.8936869047178871,-0.04652822121796715
167,0.33336685729382365,0.1343036721357041
168,0.46485616733325047,0.02650534729333163
169,-0.7797623194843457,0.12834250409772113
170,-0.35931179299938626,-0.021853054530597375
171,-0.2796534339884509,-0.15688833230066207
172,0.11132780510192004,-0.022629803057363323
173,-0.8130140668879983,-0.07163904767259265
174,0.6879320449123423,-0.042871608201056476
175,-1.3636031134143924,0.0855689114283046
176,0.03677955759181814,0.03181782207037837
177,-0.028141220620100847,-0.009105334250273649
178,1.5589868134574913,-0.02977653798168628
179,0.3415817619293677,-0.003133799304056014
180,-0.5748571004833056,0.05081793682485886
181,1.0109205825332779,0.010296221003281297
182,0.4489117655027412,0.03016380288883941
183,-0.09753622538999263,-0.0602237157204568
184,0.05062514851710638,-0.005300247593334427
185,-0.715550859758976,-0.12602549163609555
186,0.33529616324262684,0.1037654849071125
187,0.4636516747211381,-0.03942723523532212
188,1.066942449454657,-0.0631353032335432
189,-0.6850586040164607,0.117943480804873
190,0.6453125985464778,0.08520101581625232
191,0.08233161944889458,0.004571825071589369
192,0.06738527061550259,-0.026570370090970144
193,0.30020825911790594,0.060152257059127315
194,0.3074709055380514,-0.023394803475605817
195,0.38119295173649154,-0.08345513193139427
196,-0.15139273551107732,-0.020871914798152386
197,0.6026020463030206,0.057780178052511205
198,-0.06250948608466907,-0.029259238190004717
199,-0.43295761212609984,0.02293285757251497
200,-0.03587398156757602,0.02928576086156276
201,-0.7103323472668736,-0.017502931834853908
202,0.07233811257577921,0.12560158768341084
203,0.3872584945173201,-0.034973818608300955
204,-0.44779473009755394,0.01595756837546272
205,-0.5446435006650858,0.008731718935585525
206,1.1411631982908086,0.03191536228728687
207,0.07551756586025027,-0.053767605664217163
208,0.7327491289699581,-0.05579420870398515
209,0.7195154628175331,0.034937021426028676
210,0.2118940524481238,0.03480339115399316
211,0.530232556138095,0.032787272937302644
212,-0.03985256596662185,0.07867922481252915
213,-0.039100183518708684,0.02186041966315651
214,-0.24712099847157198,0.16009336428369686
215,-1.2318961513489979,-0.008025844973787956
216,0.27585659637685583,0.00016943544782139282
217,-0.9729162820157244,0.09534332362953274
218,-0.3558656337385412,0.08168202564896394
219,-0.8422999061766018,0.028039256811435154
220,-1.5928683896785745,-0.07112027872817298
221,-0.2633166460148094,-0.0595651458004593
222,-1.2619366467391968,-0.02876566935285358
223,-0.23957173263221923,0.09956023049825387
224,-0.12850198389362083,0.03301944130928152
225,0.7334711731384509,0.1761491162555844
226,0.229504416142731,-0.02620611705895971
227,-0.06837296960733694,-0.07292973442101222
228,0.38154469394287155,-0.01745855573379365
229,0.43212179806837586,-0.04985184421874928
230,0.29807806055632674,0.07436991835883992
231,-0.6935982369836771,0.08000717439292065
232,0.6483373683274603,0.16146996234979105
233,0.6530352223904518,0.0033014143776165764
234,0.9286973228884865,-0.019952072710212727
235,0.3087801482096523,-0.030732673976604865
236,-1.603093742715259,0.002932713048250182
237,-0.7892451434405092,0.09686838273935588
238,-0.888053800843524,-0.1362119934487122
239,-0.2134117529903338,0.03558187527610076
240,-1.0382953757606646,-0.009098278503019926
241,0.1167359894053655,-0.014439032917531831
242,-0.5831529438174812,0.03875902213055977
243,0.8157449673155001,-0.02010846293005336
244,-0.3402519230467874,-0.10760538925549351
245,-0.2855825366689491,-0.0022584495880572037
246,0.729474077806161,0.026200022121311457
247,0.20479175754251927,0.05813833495119103
248,0.35175041335693513,0.0925775938236189
249,-0.6121608535152944,-0.10883594334343258
250,-0.0150454622294575,-0.01032965574672238
251,0.2509206783501303,-0.06293665046191393
252,-0.8033644236861294,-0.032137568249371244
253,1.512211824120029,0.17157363598434366
254,0.06111797850053765,-0.09580305019497043
255,-0.4247924972639725,0.0846980770735105
256,-0.7947122282915862,0.10732225275650206
257,-1.7306135212140081,0.06454694599098593
258,-0.8879584554011848,-0.08905797034956911
259,0.15583387500511742,-0.04609473088984724
260,0.03329265147022664,0.05455407842829893
261,-1.2964726787433438,0.04198706141808847
