task_name,model,permutation,n_rows,n_subjects,positive_rate,roc_auc,average_precision,balanced_accuracy,accuracy,brier,log_loss
responsive_vs_lor_all_phases,confounds_motion_propofol,29,147,26,0.3469387755102041,0.4850898692810458,0.3215681909379679,0.5441176470588236,0.5306122448979592,0.2616293442174968,0.7190985192828511
responsive_vs_lor_all_phases,confounds_motion_propofol,30,147,26,0.3469387755102041,0.565359477124183,0.38095355547046367,0.5793504901960784,0.564625850340136,0.2503685009072118,0.6953816766463551
responsive_vs_lor_all_phases,confounds_motion_propofol,31,147,26,0.3469387755102041,0.40093954248366015,0.2995939726901782,0.4485294117647059,0.4897959183673469,0.2603911344460231,0.7150084084093378
responsive_vs_lor_all_phases,confounds_motion_propofol,32,147,26,0.3469387755102041,0.5328839869281046,0.3598399668727355,0.5269607843137255,0.54421768707483,0.2526089188495984,0.6992080508051368
responsive_vs_lor_all_phases,confounds_motion_propofol,33,147,26,0.3469387755102041,0.4446486928104575,0.32282074840756964,0.47824754901960786,0.46258503401360546,0.2622306037835358,0.7201608441916745
responsive_vs_lor_all_phases,confounds_motion_propofol,34,147,26,0.3469387755102041,0.5582107843137255,0.38889498588871485,0.5435049019607843,0.5238095238095238,0.25228323051690843,0.6996761714911482
responsive_vs_lor_all_phases,confounds_motion_propofol,35,147,26,0.3469387755102041,0.5042892156862745,0.349387516732412,0.5116421568627451,0.47619047619047616,0.25889240897191,0.7144555198440833
responsive_vs_lor_all_phases,confounds_motion_propofol,36,147,26,0.3469387755102041,0.542687908496732,0.3487525105715099,0.5603553921568627,0.5578231292517006,0.2528433937599163,0.6986701243510745
responsive_vs_lor_all_phases,confounds_motion_propofol,37,147,26,0.3469387755102041,0.41482843137254904,0.2953983893110069,0.43719362745098034,0.41496598639455784,0.2622288921432289,0.7182038503698709
responsive_vs_lor_all_phases,confounds_motion_propofol,38,147,26,0.3469387755102041,0.4699754901960784,0.36951072289982595,0.508578431372549,0.54421768707483,0.2578394764634501,0.7121670337430939
responsive_vs_lor_all_phases,confounds_motion_propofol,39,147,26,0.3469387755102041,0.4268790849673203,0.305908674858268,0.4785539215686274,0.5170068027210885,0.2609122224138622,0.7160629947642824
responsive_vs_lor_all_phases,confounds_motion_propofol,40,147,26,0.3469387755102041,0.42892156862745096,0.2970238673917273,0.4681372549019608,0.5034013605442177,0.26020169061158654,0.7143325784759501
responsive_vs_lor_all_phases,confounds_motion_propofol,41,147,26,0.3469387755102041,0.24448529411764705,0.2369517607204898,0.319546568627451,0.3333333333333333,0.2647560415683968,0.7229982998713776
responsive_vs_lor_all_phases,confounds_motion_propofol,42,147,26,0.3469387755102041,0.4705882352941177,0.35301254759937795,0.5343137254901961,0.5238095238095238,0.2596322670600342,0.7131352896922644
responsive_vs_lor_all_phases,confounds_motion_propofol,43,147,26,0.3469387755102041,0.3880718954248366,0.28055620626254396,0.37775735294117646,0.3673469387755102,0.2591415059428069,0.7120274194909149
responsive_vs_lor_all_phases,confounds_motion_propofol,44,147,26,0.3469387755102041,0.5169526143790849,0.34793450598550346,0.5012254901960784,0.46258503401360546,0.2533618361300616,0.7001545901652655
responsive_vs_lor_all_phases,confounds_motion_propofol,45,147,26,0.3469387755102041,0.47937091503267976,0.35159172299175123,0.48651960784313725,0.5034013605442177,0.25644587433312216,0.7101767491666396
responsive_vs_lor_all_phases,confounds_motion_propofol,46,147,26,0.3469387755102041,0.45629084967320266,0.3480869054716062,0.5196078431372548,0.564625850340136,0.25838266758591194,0.7122295380920094
